ASV_ID	taxonomy
ASV_10434	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;californica
ASV_10435	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS08;NA;NA;NA
ASV_10437	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10438	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Luellia;recondita
ASV_1044	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Clavulina;rugosa
ASV_10440	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;brooksianum
ASV_10441	Fungi;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;fusispora
ASV_10443	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Alphamycetaceae;NA;NA
ASV_1045	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus;discoxanthus
ASV_10450	Fungi;Glomeromycota;Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora;sporocarpia
ASV_10451	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Ramariopsis;flavescens
ASV_10454	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;cylindrospora
ASV_10456	Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon;fragiforme
ASV_1046	Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;NA;NA
ASV_10462	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10465	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;NA
ASV_10466	Fungi;Ascomycota;Leotiomycetes;NA;NA;NA;NA
ASV_10469	Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS07;NA;NA;NA
ASV_1047	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria;NA
ASV_10470	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10471	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10472	Fungi;Ascomycota;Leotiomycetes;Helotiales;Lachnaceae;Proliferodiscus;alboviridis
ASV_10473	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10474	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;cylindrospora
ASV_10478	Fungi;Mucoromycota;Endogonomycetes;NA;NA;NA;NA
ASV_10479	Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Dominikia;NA
ASV_10480	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10483	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;NA
